type,statement,prompt,template
verifiable-true,An encoder in a telephone communication system converts sound to electrical impulses.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""An encoder in a telephone communication system converts sound to electrical impulses.""",An encoder in a telephone communication system converts sound to electrical impulses.
verifiable-true,The order of stages in a plant's life cycle is seed -> young plant -> adult plant.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""The order of stages in a plant's life cycle is seed -> young plant -> adult plant.""",The order of stages in a plant's life cycle is seed -> young plant -> adult plant.
verifiable-true,A balance is used to measure mass.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""A balance is used to measure mass.""",A balance is used to measure mass.
verifiable-true,The main source of energy for all of the organisms in most food chains is sunlight.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""The main source of energy for all of the organisms in most food chains is sunlight.""",The main source of energy for all of the organisms in most food chains is sunlight.
verifiable-true,The mass of a rubber band will stay the same when it is stretched.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""The mass of a rubber band will stay the same when it is stretched.""",The mass of a rubber band will stay the same when it is stretched.
verifiable-true,Water vapor is the most abundant greenhouse gas in the lower atmosphere of earth.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Water vapor is the most abundant greenhouse gas in the lower atmosphere of earth.""",Water vapor is the most abundant greenhouse gas in the lower atmosphere of earth.
verifiable-true,A brick wall is opaque.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""A brick wall is opaque.""",A brick wall is opaque.
verifiable-true,The moon revolving around earth causes the moon to appear as different shapes during the month.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""The moon revolving around earth causes the moon to appear as different shapes during the month.""",The moon revolving around earth causes the moon to appear as different shapes during the month.
verifiable-true,"If an atom has two protons and three electrons, then the atom is negatively charged.","Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""If an atom has two protons and three electrons, then the atom is negatively charged.""","If an atom has two protons and three electrons, then the atom is negatively charged."
verifiable-true,One example of a living thing is a worm.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""One example of a living thing is a worm.""",One example of a living thing is a worm.
verifiable-true,"If a brand of fertilizer claims that it contains all the chemicals a plant needs for rapid growth, it may be inferred that the fertilizer includes phosphorus.","Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""If a brand of fertilizer claims that it contains all the chemicals a plant needs for rapid growth, it may be inferred that the fertilizer includes phosphorus.""","If a brand of fertilizer claims that it contains all the chemicals a plant needs for rapid growth, it may be inferred that the fertilizer includes phosphorus."
verifiable-true,"For space telescopes that search for extrasolar planets, the ability to observe flickers in the brightness of a star is most important.","Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""For space telescopes that search for extrasolar planets, the ability to observe flickers in the brightness of a star is most important.""","For space telescopes that search for extrasolar planets, the ability to observe flickers in the brightness of a star is most important."
verifiable-true,The skin is the first line of defense in the human body against infection and disease.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""The skin is the first line of defense in the human body against infection and disease.""",The skin is the first line of defense in the human body against infection and disease.
verifiable-true,The endocrine system helps maintain a normal body temperature of 98.6°f.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""The endocrine system helps maintain a normal body temperature of 98.6°f.""",The endocrine system helps maintain a normal body temperature of 98.6°f.
verifiable-true,One helpful effect from a flood could be more fertile soils.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""One helpful effect from a flood could be more fertile soils.""",One helpful effect from a flood could be more fertile soils.
verifiable-true,One major difference between paper and plastic is that paper comes from a renewable source.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""One major difference between paper and plastic is that paper comes from a renewable source.""",One major difference between paper and plastic is that paper comes from a renewable source.
verifiable-true,The green color of many grass snakes most likely helps them to hide when threatened.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""The green color of many grass snakes most likely helps them to hide when threatened.""",The green color of many grass snakes most likely helps them to hide when threatened.
verifiable-true,The best piece of equipment to determine the topography of the united states is a satellite.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""The best piece of equipment to determine the topography of the united states is a satellite.""",The best piece of equipment to determine the topography of the united states is a satellite.
verifiable-true,More predators would likely limit the number of mice living in an area.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""More predators would likely limit the number of mice living in an area.""",More predators would likely limit the number of mice living in an area.
verifiable-true,It requires 50 seconds for a bicycle to travel a distance of 100 meters at an average speed of 2 m/s.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""It requires 50 seconds for a bicycle to travel a distance of 100 meters at an average speed of 2 m/s.""",It requires 50 seconds for a bicycle to travel a distance of 100 meters at an average speed of 2 m/s.
verifiable-true,"When your kidneys excrete antidiuretic hormone (adh), you get thirsty and urinate less.","Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""When your kidneys excrete antidiuretic hormone (adh), you get thirsty and urinate less.""","When your kidneys excrete antidiuretic hormone (adh), you get thirsty and urinate less."
verifiable-true,"If a construction worker hit a solid steel wall with a sledgehammer, but the wall did not move, then part of the energy exerted by the worker was converted into heat.","Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""If a construction worker hit a solid steel wall with a sledgehammer, but the wall did not move, then part of the energy exerted by the worker was converted into heat.""","If a construction worker hit a solid steel wall with a sledgehammer, but the wall did not move, then part of the energy exerted by the worker was converted into heat."
verifiable-true,"If an atom of hydrogen gives up one electron, its overall charge is +1.","Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""If an atom of hydrogen gives up one electron, its overall charge is +1.""","If an atom of hydrogen gives up one electron, its overall charge is +1."
verifiable-true,"There is a limited supply of copper on earth, so copper should be recycled.","Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""There is a limited supply of copper on earth, so copper should be recycled.""","There is a limited supply of copper on earth, so copper should be recycled."
verifiable-true,"When two positively charged balloons are brought close to each other, the balloons will move apart.","Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""When two positively charged balloons are brought close to each other, the balloons will move apart.""","When two positively charged balloons are brought close to each other, the balloons will move apart."
verifiable-true,Plant cells and human cells both use mitochondria to release energy from sugars.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Plant cells and human cells both use mitochondria to release energy from sugars.""",Plant cells and human cells both use mitochondria to release energy from sugars.
verifiable-true,Yarn being knitted into a sweater is an example of a physical change.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Yarn being knitted into a sweater is an example of a physical change.""",Yarn being knitted into a sweater is an example of a physical change.
verifiable-true,Landslides moving loose rocks downhill is an example of a sudden change to earth's surface.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Landslides moving loose rocks downhill is an example of a sudden change to earth's surface.""",Landslides moving loose rocks downhill is an example of a sudden change to earth's surface.
verifiable-true,An exothermic reaction could best be demonstrated with a car engine.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""An exothermic reaction could best be demonstrated with a car engine.""",An exothermic reaction could best be demonstrated with a car engine.
verifiable-true,"An element developing a white, powdery surface after standing in air is an example of a chemical change.","Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""An element developing a white, powdery surface after standing in air is an example of a chemical change.""","An element developing a white, powdery surface after standing in air is an example of a chemical change."
verifiable-true,"If the wavelength of a rossby wave was doubled, the frequency would decrease by half.","Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""If the wavelength of a rossby wave was doubled, the frequency would decrease by half.""","If the wavelength of a rossby wave was doubled, the frequency would decrease by half."
verifiable-true,Extensive glaciation could disrupt ocean ecosystems by producing a steep drop in ocean volume and area.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Extensive glaciation could disrupt ocean ecosystems by producing a steep drop in ocean volume and area.""",Extensive glaciation could disrupt ocean ecosystems by producing a steep drop in ocean volume and area.
verifiable-true,"In the chemical equation 6co_{2} + 12h_{2}o + light -> c_{6}h_{12}o_{6} + 6o_{2} + 6h_{2}o, six molecules of co_{2} are needed as reactants.","Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""In the chemical equation 6co_{2} + 12h_{2}o + light -> c_{6}h_{12}o_{6} + 6o_{2} + 6h_{2}o, six molecules of co_{2} are needed as reactants.""","In the chemical equation 6co_{2} + 12h_{2}o + light -> c_{6}h_{12}o_{6} + 6o_{2} + 6h_{2}o, six molecules of co_{2} are needed as reactants."
verifiable-true,A positive effect of using robots to assemble car parts is that there are fewer injuries to workers.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""A positive effect of using robots to assemble car parts is that there are fewer injuries to workers.""",A positive effect of using robots to assemble car parts is that there are fewer injuries to workers.
verifiable-true,"After four seasons have passed on earth, earth has completed one revolution around the sun.","Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""After four seasons have passed on earth, earth has completed one revolution around the sun.""","After four seasons have passed on earth, earth has completed one revolution around the sun."
verifiable-true,Radioactive isotopes are a significant source of energy in the earth's interior.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Radioactive isotopes are a significant source of energy in the earth's interior.""",Radioactive isotopes are a significant source of energy in the earth's interior.
verifiable-true,Parasites and herbivores are classified as consumers.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Parasites and herbivores are classified as consumers.""",Parasites and herbivores are classified as consumers.
verifiable-true,Limiting construction in wooded areas would help protect the natural habitats of animals.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Limiting construction in wooded areas would help protect the natural habitats of animals.""",Limiting construction in wooded areas would help protect the natural habitats of animals.
verifiable-true,Eyeglasses refract light.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Eyeglasses refract light.""",Eyeglasses refract light.
verifiable-true,The salt in ocean water comes in part from volcanic emissions.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""The salt in ocean water comes in part from volcanic emissions.""",The salt in ocean water comes in part from volcanic emissions.
verifiable-true,One of the long-term effects of deforestation is that organisms may become extinct.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""One of the long-term effects of deforestation is that organisms may become extinct.""",One of the long-term effects of deforestation is that organisms may become extinct.
verifiable-true,Infrared waves travel from the sun to the earth.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Infrared waves travel from the sun to the earth.""",Infrared waves travel from the sun to the earth.
verifiable-true,"In regions where prevailing winds blow from the oceans to the shore, heavier rainfall is likely to occur.","Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""In regions where prevailing winds blow from the oceans to the shore, heavier rainfall is likely to occur.""","In regions where prevailing winds blow from the oceans to the shore, heavier rainfall is likely to occur."
verifiable-true,The skin helps the body maintain homeostasis by stabilizing temperature.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""The skin helps the body maintain homeostasis by stabilizing temperature.""",The skin helps the body maintain homeostasis by stabilizing temperature.
verifiable-true,"When black bears lose their fear of humans and look for food near campsites along the roadside, it is an example of an animal learning a new behavior.","Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""When black bears lose their fear of humans and look for food near campsites along the roadside, it is an example of an animal learning a new behavior.""","When black bears lose their fear of humans and look for food near campsites along the roadside, it is an example of an animal learning a new behavior."
verifiable-true,Penguins can live in climates with freezing temperatures.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Penguins can live in climates with freezing temperatures.""",Penguins can live in climates with freezing temperatures.
verifiable-true,Membrane-bound structures in a cell indicate that the cell is a eukaryote.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Membrane-bound structures in a cell indicate that the cell is a eukaryote.""",Membrane-bound structures in a cell indicate that the cell is a eukaryote.
verifiable-true,Heat energy from the sun is transferred to earth primarily by radiation.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Heat energy from the sun is transferred to earth primarily by radiation.""",Heat energy from the sun is transferred to earth primarily by radiation.
verifiable-true,Human cells are not capable of creating simple sugars from smaller molecules.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Human cells are not capable of creating simple sugars from smaller molecules.""",Human cells are not capable of creating simple sugars from smaller molecules.
verifiable-true,The movement of crustal plates is best described as a continuing long-term process.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""The movement of crustal plates is best described as a continuing long-term process.""",The movement of crustal plates is best described as a continuing long-term process.
verifiable-true,Oceanic crust generally tends to subduct under continental crust when plates collide because the oceanic crust is denser than the continental crust.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Oceanic crust generally tends to subduct under continental crust when plates collide because the oceanic crust is denser than the continental crust.""",Oceanic crust generally tends to subduct under continental crust when plates collide because the oceanic crust is denser than the continental crust.
verifiable-true,Burning tree branches uses the chemical energy of the branches.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Burning tree branches uses the chemical energy of the branches.""",Burning tree branches uses the chemical energy of the branches.
verifiable-true,"A ship carrying heavier cargo takes more time to come to a stop than an identical ship carrying lighter cargo, if both ships are traveling at the same speed, because of its greater momentum.","Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""A ship carrying heavier cargo takes more time to come to a stop than an identical ship carrying lighter cargo, if both ships are traveling at the same speed, because of its greater momentum.""","A ship carrying heavier cargo takes more time to come to a stop than an identical ship carrying lighter cargo, if both ships are traveling at the same speed, because of its greater momentum."
verifiable-true,The use of television has improved safety by warning people of dangers such as bad weather or accidents.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""The use of television has improved safety by warning people of dangers such as bad weather or accidents.""",The use of television has improved safety by warning people of dangers such as bad weather or accidents.
